date,temperature_2m_max,precipitation_sum,precipitation_hours,uv_index_max,wind_speed_10m_max,shortwave_radiation_sum,NO2,PM25,NO2_r7,PM25_r7,NO2_l1,NO2_l3,NO2_l7,PM25_l1,PM25_l3,PM25_l7,wind_r3
2025-07-28,93.48428,0.48675495,0.09933775,7.5546355,9.465097,27.26351,5.186111111111111,8.47625,7.0744253762110905,8.71849490507372,4.06010101010101,8.381944444444445,8.213888888888889,4.383333333333334,8.826249999999998,5.349166666666667,9.420782666666668
2025-07-29,95.20323,0.0,0.0,7.6980133,9.556653,26.357151,7.576388888888889,8.47775,6.6418856936714095,9.16522109554991,5.186111111111111,4.411111111111111,9.97777777777778,8.47625,6.4017857142857135,11.643067375886524,9.726121333333333
2025-07-30,90.46243,1.2609271,0.18543047,7.569536,12.125523,24.295166,8.881944444444445,8.54624836601307,6.298830138115853,8.713032898994692,7.576388888888889,4.06010101010101,7.540674603174604,8.47775,4.383333333333334,13.471821428571428,9.465201
2025-07-31,77.717,0.08145695,0.15231788,5.5824504,11.524425,12.252782,3.548611111111111,15.18306818181818,6.490440115440115,8.009379604343499,8.881944444444445,5.186111111111111,6.935479797979798,8.54624836601307,8.47625,10.954039816772374,10.382424333333335
2025-08-01,80.72098,0.0,0.0,7.641391,11.731793,26.94073,5.033333333333333,30.594583333333333,6.006601731601732,8.613526513635756,3.548611111111111,7.576388888888889,8.381944444444445,15.18306818181818,8.47775,8.826249999999998,11.068867000000003
2025-08-02,79.18204,0.0,0.0,7.611921,10.445726,26.382517,3.972222222222222,12.960416666666664,5.528228715728716,11.723288418397662,5.033333333333333,8.881944444444445,4.411111111111111,30.594583333333333,8.54624836601307,6.4017857142857135,11.793913666666668
2025-08-03,79.92528,0.0,0.0,7.5645695,7.6462255,25.69159,4.05,4.516287878787879,5.465530303030303,12.660235697309227,3.972222222222222,3.548611111111111,4.06010101010101,12.960416666666664,15.18306818181818,4.383333333333334,11.233981333333332
2025-08-04,83.42515,0.4350993,0.30463576,7.4996686,8.248457,22.525166,5.152777777777778,4.335416666666667,5.464087301587301,12.679229203802732,4.05,5.033333333333333,5.186111111111111,4.516287878787879,30.594583333333333,8.47625,9.941248166666666
2025-08-05,84.9927,0.2602649,0.03311258,7.4562917,6.063434,22.43404,7.738149350649351,4.546060606060606,5.459325396825397,12.087681584755115,5.152777777777778,3.972222222222222,7.576388888888889,4.335416666666667,12.960416666666664,8.47775,8.780136166666667
2025-08-06,90.43799,0.0,0.0,7.5102654,8.58721,24.48351,11.811616161616165,9.670916666666669,5.482434034219749,11.5260116713352,7.738149350649351,4.05,8.881944444444445,4.546060606060606,4.516287878787879,8.54624836601307,7.319372166666668
2025-08-07,88.739914,0.9821192,0.92715234,7.4407287,11.031635,22.186224,9.493055555555555,9.65,5.90095856524428,11.686678571428573,11.811616161616165,5.152777777777778,3.548611111111111,9.670916666666669,4.335416666666667,15.18306818181818,7.633033666666667
2025-08-08,93.494415,0.0,0.0,7.5324507,11.282444,26.31828,8.963888888888889,8.186666666666667,6.750164914450629,10.896240259740258,9.493055555555555,7.738149350649351,5.033333333333333,9.65,4.546060606060606,30.594583333333333,8.560759666666668
2025-08-09,92.93654,0.0,0.0,7.5172186,11.050122,23.531458,6.041666666666667,6.497083333333333,7.311672850958566,7.695109307359307,8.963888888888889,11.811616161616165,3.972222222222222,8.186666666666667,9.670916666666669,12.960416666666664,10.300429666666666
2025-08-10,88.263695,21.941061,1.4768212,6.6374173,14.029143,16.462385,6.725757575757576,4.807083333333333,7.607307771593486,6.771775974025975,6.041666666666667,9.493055555555555,4.05,6.497083333333333,9.65,4.516287878787879,11.121400333333334
2025-08-11,89.867,0.0,0.0,7.4460263,7.949479,23.794502,9.438888888888888,7.038134057971014,7.989558853844569,6.813318181818182,6.725757575757576,8.963888888888889,5.152777777777778,4.807083333333333,8.186666666666667,4.335416666666667,12.120569666666666
