date_local,site_number,sample_measurement,samp_dur_hrs
2025-06-04,0094,8.045833333333333,1
2025-06-04,0093,10.777083333333332,1
2025-06-04,0085,8.174999999999999,1
2025-06-04,0016,12.362499999999999,1
2025-06-05,0016,4.641666666666667,1
2025-06-05,0094,7.8812500000000005,1
2025-06-05,0085,7.366666666666667,1
2025-06-05,0007,9.479166666666666,1
2025-06-05,0093,9.335416666666667,1
2025-06-06,0016,11.5375,1
2025-06-06,0093,18.25,1
2025-06-06,0007,13.616666666666667,1
2025-06-06,0085,14.333333333333334,1
2025-06-06,0085,14.6,24
2025-06-06,0094,13.081249999999999,1
2025-06-07,0016,7.845833333333334,1
2025-06-07,0007,21.070833333333333,1
2025-06-07,0085,26.90222222222222,1
2025-06-07,0093,29.78125,1
2025-06-07,0094,24.508333333333336,1
2025-06-08,0007,12.145833333333334,1
2025-06-08,0085,14.316666666666668,1
2025-06-08,0093,16.733333333333334,1
2025-06-08,0094,14.077083333333334,1
2025-06-08,0016,5.179166666666666,1
2025-06-09,0007,14.162500000000001,1
2025-06-09,0094,14.452083333333334,1
2025-06-09,0093,19.131249999999998,1
2025-06-09,0085,13.9,24
2025-06-09,0085,14.475,1
2025-06-09,0016,7.675,1
2025-06-10,0016,14.916666666666666,1
2025-06-10,0094,16.45625,1
2025-06-10,0007,16.079166666666666,1
2025-06-10,0085,17.87727272727273,1
2025-06-10,0093,21.508333333333336,1
2025-06-11,0094,21.87291666666667,1
2025-06-11,0093,30.077083333333334,1
2025-06-11,0085,22.579166666666666,1
2025-06-11,0007,18.641666666666666,1
2025-06-11,0016,19.054545454545455,1
2025-06-12,0094,21.897727272727273,1
2025-06-12,0093,27.504166666666666,1
2025-06-12,0085,20.6,24
2025-06-12,0007,20.616666666666667,1
2025-06-12,0016,17.479166666666668,1
2025-06-12,0085,22.014583333333334,1
2025-06-13,0007,3.3208333333333333,1
2025-06-13,0093,7.723255813953489,1
2025-06-13,0016,9.125,1
2025-06-13,0094,4.491666666666666,1
2025-06-13,0085,4.627083333333333,1
2025-06-14,0016,1.9458333333333335,1
2025-06-14,0007,7.4125000000000005,1
2025-06-14,0085,6.139583333333333,1
2025-06-14,0093,10.233333333333333,1
2025-06-14,0094,6.0062500000000005,1
2025-06-15,0094,7.472916666666666,1
2025-06-15,0016,4.258333333333334,1
2025-06-15,0093,10.6,1
2025-06-15,0085,8.6,24
2025-06-15,0085,7.8374999999999995,1
2025-06-15,0007,9.441666666666666,1
2025-06-16,0094,3.65,1
2025-06-16,0093,7.3500000000000005,1
2025-06-16,0085,5.135416666666667,1
2025-06-16,0007,4.895833333333333,1
2025-06-16,0016,12.75,1
2025-06-17,0016,11.825000000000001,1
2025-06-17,0085,7.864583333333333,1
2025-06-17,0093,13.210416666666667,1
2025-06-17,0007,7.3999999999999995,1
2025-06-17,0094,7.845833333333332,1
2025-06-18,0016,8.370833333333334,1
2025-06-18,0085,5.5,24
2025-06-18,0093,7.083333333333333,1
2025-06-18,0085,5.3125,1
2025-06-18,0007,4.5181818181818185,1
2025-06-18,0094,5.677083333333333,1
2025-06-19,0016,7.3999999999999995,1
2025-06-19,0007,5.679166666666667,1
2025-06-19,0085,7.402083333333334,1
2025-06-19,0093,6.55,1
2025-06-19,0094,4.402083333333334,1
2025-06-20,0016,9.654166666666667,1
2025-06-20,0007,8.2125,1
2025-06-20,0085,7.339583333333334,1
2025-06-20,0093,11.347916666666668,1
2025-06-20,0094,7.54375,1
2025-06-21,0094,10.85,1
2025-06-21,0093,14.820833333333333,1
2025-06-21,0085,10.810416666666667,1
2025-06-21,0016,3.025,1
2025-06-21,0007,10.9375,1
2025-06-21,0085,11.8,24
2025-06-22,0007,13.654166666666667,1
2025-06-22,0085,13.285416666666668,1
2025-06-22,0093,17.419999999999998,1
2025-06-22,0094,13.304166666666667,1
2025-06-22,0016,2.5166666666666666,1
2025-06-23,0016,5.804166666666667,1
2025-06-23,0094,11.897916666666667,1
2025-06-23,0007,10.891666666666666,1
2025-06-23,0085,11.183333333333332,1
2025-06-23,0093,16.304166666666667,1
2025-06-24,0007,9.041666666666666,1
2025-06-24,0085,8.6625,1
2025-06-24,0085,9.6,24
2025-06-24,0093,12.862499999999999,1
2025-06-24,0094,9.097916666666666,1
2025-06-24,0016,9.25,1
2025-06-25,0007,12.745000000000001,1
2025-06-25,0085,9.620833333333334,1
2025-06-25,0093,12.260975609756096,1
2025-06-25,0094,9.793750000000001,1
2025-06-25,0016,9.065217391304348,1
2025-06-26,0007,8.450000000000001,1
2025-06-26,0093,9.085416666666667,1
2025-06-26,0085,6.690476190476191,1
2025-06-26,0016,7.320833333333333,1
2025-06-26,0094,6.425581395348837,1
2025-06-27,0016,9.108333333333333,1
2025-06-27,0085,5.885416666666667,1
2025-06-27,0007,6.454166666666667,1
2025-06-27,0085,6.6,24
2025-06-27,0093,6.54375,1
2025-06-27,0094,5.658333333333334,1
2025-06-28,0094,3.75,1
2025-06-28,0007,5.2375,1
2025-06-28,0085,4.089583333333333,1
2025-06-28,0016,8.0875,1
2025-06-28,0093,4.8500000000000005,1
2025-06-29,0007,5.085714285714285,1
2025-06-29,0085,3.408333333333333,1
2025-06-29,0093,3.68125,1
2025-06-29,0094,3.6062499999999997,1
2025-06-29,0016,6.854166666666667,1
2025-06-30,0016,9.695833333333333,1
2025-06-30,0007,,1
2025-06-30,0094,5.335416666666667,1
2025-06-30,0093,5.8,1
2025-06-30,0085,6.3,24
2025-06-30,0085,5.164583333333334,1
2025-07-01,0016,5.833333333333333,1
2025-07-01,0094,5.020833333333333,1
2025-07-01,0093,6.483333333333333,1
2025-07-01,0085,5.4437500000000005,1
2025-07-01,0007,5.916666666666667,1
2025-07-02,0093,10.987499999999999,1
2025-07-02,0094,9.06875,1
2025-07-02,0016,13.8125,1
2025-07-02,0085,10.927083333333334,1
2025-07-02,0007,10.3125,1
2025-07-03,0016,12.583333333333334,1
2025-07-03,0007,11.979166666666666,1
2025-07-03,0085,12.731250000000001,1
2025-07-03,0094,11.439583333333333,1
2025-07-03,0093,13.839583333333332,1
2025-07-04,0093,23.260416666666668,1
2025-07-04,0016,8.279166666666667,1
2025-07-04,0094,17.404166666666665,1
2025-07-04,0085,25.054166666666664,1
2025-07-04,0007,16.6375,1
2025-07-05,0016,6.075,1
2025-07-05,0094,15.235416666666666,1
2025-07-05,0093,18.635416666666668,1
2025-07-05,0085,17.035416666666666,1
2025-07-05,0007,15.170833333333334,1
2025-07-06,0016,3.8791666666666664,1
2025-07-06,0085,11.572916666666666,1
2025-07-06,0094,9.125,1
