date,temperature_2m_max,precipitation_sum,precipitation_hours,uv_index_max,wind_speed_10m_max,shortwave_radiation_sum
2025-04-20,75.6774,12.574835,5.3178806,3.995695,17.608255,15.483046
2025-04-21,68.4017,0.0,0.0,7.1986756,13.771922,20.558014
2025-04-22,78.42627,0.0,0.0,7.010927,11.072345,26.610529
2025-04-23,78.04303,0.0,0.0,6.8447022,8.042827,26.68298
2025-04-24,81.306274,0.24370861,0.03311258,6.9801326,10.501879,24.71192
2025-04-25,77.63952,6.4880795,2.3774834,7.037748,12.902516,16.837217
2025-04-26,63.685345,0.0,0.0,6.926159,10.5992565,18.441854
2025-04-27,61.175476,1.7615894,3.2649007,2.036424,10.01878,12.564504
2025-04-28,85.65309,0.0,0.0,7.4089403,18.467344,23.647085
2025-04-29,76.22098,12.001987,2.6688743,4.537086,16.202383,13.163974
2025-04-30,74.29521,27.984106,4.4172187,6.09404,11.335807,15.860065
2025-05-01,73.882164,13.854304,0.9933775,6.915231,13.081917,17.267881
2025-05-02,64.995415,0.088079475,0.09933775,4.2933774,8.918671,16.987286
2025-05-03,55.98528,10.2364235,7.192053,5.8410597,12.002879,10.802848
2025-05-04,60.892365,0.0,0.0,5.7559605,9.9565935,22.24788
2025-05-05,58.689453,0.0,0.0,5.593046,7.1341515,11.330729
2025-05-06,71.28468,0.0,0.0,7.4688735,5.63968,27.273046
2025-05-07,73.49595,0.65562916,0.6423841,6.932451,12.710222,22.515165
2025-05-08,69.65992,5.3536425,2.2715232,7.2483444,9.62695,19.007881
2025-05-09,71.2519,0.0,0.0,7.501987,9.387873,28.428875
2025-05-10,76.76634,0.0,0.0,7.198344,7.4751015,29.300396
2025-05-11,79.286934,0.0,0.0,7.1049666,9.324837,28.425827
2025-05-12,70.32508,14.519868,3.8476822,6.2774835,7.148026,11.7003975
2025-05-13,77.89283,1.7456954,0.37086093,7.5437083,5.644038,18.49371
2025-05-14,82.09601,0.35629138,0.2781457,7.6023183,12.605921,21.122715
2025-05-15,85.87065,0.095364235,0.01986755,7.3612585,14.655461,25.57967
2025-05-16,84.60468,10.907285,0.80794704,7.7,16.920122,25.934305
2025-05-17,74.10508,0.0,0.0,7.515232,14.7731495,29.321722
2025-05-18,78.072235,0.020529801,0.046357617,7.677152,7.2961464,28.742914
2025-05-19,81.7825,9.009933,2.9801323,7.2082777,14.116536,20.730862
2025-05-20,79.70714,10.553642,2.0066226,7.6420527,14.904511,22.604305
2025-05-21,72.98336,0.0,0.0,7.684437,16.880491,30.127813
2025-05-22,70.05806,0.0,0.0,7.596358,15.857134,29.544703
2025-05-23,71.70369,0.0,0.0,7.740066,5.2484846,29.579273
2025-05-24,73.25634,0.0052980133,0.013245033,6.9701986,10.336594,23.79947
2025-05-25,62.664948,0.48211923,0.9072848,1.7033113,10.508953,8.722781
2025-05-26,69.92932,0.0,0.0,5.4807944,11.981165,24.953775
2025-05-27,73.13833,0.05165563,0.07284768,3.3384106,7.7003617,16.108742
