date,temperature_2m_max,precipitation_sum,precipitation_hours,uv_index_max,wind_speed_10m_max,shortwave_radiation_sum,NO2,PM25
2025-03-18,80.91885,0.0,0.0,5.545364,18.678398,20.285828,8.158333333333333,7.639270833333334
2025-03-19,75.464615,0.103311256,0.07284768,5.9933777,28.289843,17.881987,4.2467460317460315,6.021618091211114
2025-03-20,50.026802,0.00794702,0.01986755,5.878477,20.235712,22.575762,5.745410628019324,3.313371212121212
2025-03-21,66.40859,0.0,0.0,4.3930464,19.524399,21.260729,9.46388888888889,8.690000000000001
2025-03-22,61.85197,0.0,0.0,6.031457,12.31698,22.052782,5.097222222222222,4.352916666666667
2025-03-23,60.482895,18.084768,8.370861,4.2519865,19.00062,12.587087,5.64330808080808,4.463333333333333
2025-03-24,59.15078,0.0,0.0,5.8801327,11.405254,21.442717,7.780555555555555,4.0075
2025-03-25,63.12806,0.0,0.0,6.073179,13.95499,22.244835,10.604166666666666,6.949583333333334
2025-03-26,63.112564,0.0,0.0,6.2016554,10.128962,22.916225,15.427777777777777,9.372613636363635
2025-03-27,61.85078,0.6006623,0.69536424,5.084437,12.860756,14.796225,18.21527777777778,12.790000000000001
2025-03-28,80.03495,0.13774835,0.21854305,6.35298,22.9962,21.15,7.658333333333334,7.067083333333334
2025-03-29,67.32707,1.2675498,1.2913908,3.318212,12.599634,5.7091393,7.419444444444445,8.1125
2025-03-30,74.70468,0.7205298,0.5629139,5.973179,18.581865,15.583047,3.426767676767677,3.893972222222222
2025-03-31,53.69952,0.0,0.0,5.777152,14.394819,17.3251,4.9222222222222225,3.5393611111111114
2025-04-01,59.4172,0.0,0.0,5.9033113,16.95446,22.598543,14.43888888888889,8.513977272727272
2025-04-02,77.77482,10.610596,2.0,5.2125826,22.557007,8.667682,5.570436507936509,7.575229384436701
2025-04-03,61.307796,2.9728477,4.602649,2.9605958,10.227082,10.020397,13.7,6.841730650632131
2025-04-04,51.7678,58.6298,9.536424,2.1291392,14.076732,5.802649,9.304166666666667,4.911060606060606
2025-04-05,47.98422,14.069536,9.688742,1.3450332,14.388762,5.216755,3.9458333333333333,5.13
2025-04-06,49.53091,0.30397353,0.7350993,4.215563,11.291077,15.598874,7.067613636363635,4.504444444444444
2025-04-07,60.168194,0.0,0.0,6.559934,15.155518,24.997482,7.218910256410257,7.24
2025-04-08,51.448326,0.0,0.0,6.7059603,7.3459253,25.360994,12.143518518518519,6.1975
2025-04-09,70.798325,0.1768212,0.17218544,5.733113,17.015093,18.952517,13.68611111111111,8.244345238095239
2025-04-10,67.78839,0.8390728,0.62913907,6.430464,19.071167,19.264769,11.927113526570048,10.132916666666667
2025-04-11,52.76674,0.0,0.0,5.8407288,10.163551,13.218211,6.740277777777777,10.074583333333333
2025-04-12,64.04773,0.0,0.0,6.9291387,10.03411,25.4551,13.1,13.221666666666668
2025-04-13,82.502495,0.0,0.0,7.0456953,18.18547,24.225166,6.095959595959596,8.870000000000001
2025-04-14,70.539055,0.0,0.0,6.383444,14.668427,22.335297,4.858333333333333,6.245027777777778
2025-04-15,61.977734,0.0,0.0,6.9039736,17.793537,26.758741,4.448214285714286,4.7122222222222225
2025-04-16,72.73303,0.0,0.0,7.047683,11.754342,26.059801,11.818055555555555,9.048750000000002
2025-04-17,79.09502,5.150331,1.5430464,7.1821194,19.070827,18.673841,7.445833333333333,10.789251893939394
2025-04-18,79.10992,1.4264901,0.27152318,4.8271523,15.193829,12.435298,7.7020833333333325,11.838541666666666
2025-04-19,70.36859,54.49934,11.834437,1.8307948,11.91615,6.9452314,6.608333333333334,10.317708333333334
2025-04-20,75.6774,12.574835,5.3178806,3.995695,17.608255,15.483046,4.44978354978355,9.346875
2025-04-21,68.4017,0.0,0.0,7.1986756,13.771922,20.558014,8.489583333333334,4.825
2025-04-22,78.42627,0.0,0.0,7.010927,11.072345,26.610529,13.879166666666666,8.91875
2025-04-23,78.04303,0.0,0.0,6.8447022,8.042827,26.68298,13.704166666666666,10.317430555555557
2025-04-24,81.306274,0.24370861,0.03311258,6.9801326,10.501879,24.71192,11.495138888888889,12.3453125
2025-04-25,77.63952,6.4880795,2.3774834,7.037748,12.902516,16.837217,6.072916666666666,7.462500000000001
2025-04-26,63.685345,0.0,0.0,6.926159,10.5992565,18.441854,4.727083333333333,4.6234375
2025-04-27,61.175476,1.7615894,3.2649007,2.036424,10.01878,12.564504,6.4,4.792708333333334
2025-04-28,85.65309,0.0,0.0,7.4089403,18.467344,23.647085,6.179166666666666,8.386458333333334
